[15:26:26.898]发送→#0100PPI254
[15:26:26.983]接收←*0101OK
                    2E
[15:26:27.187]接收←[CH1] 66077.659 Hz  [CH2] 57900.900 Hz  [Ref1] 23608528  [Ref2] 24455574  [P] 999.96  [H] 111.2  [T] 51.67 C
                    
[15:26:27.596]接收←[CH1] 66077.656 Hz  [CH2] 57900.900 Hz  [Ref1] 23608528  [Ref2] 24455578  [P] 999.96  [H] 111.2  [T] 51.69 C
                    
[15:26:28.006]接收←[CH1] 66077.790 Hz  [CH2] 57900.900 Hz  [Ref1] 23608530  [Ref2] 24455576  [P] 999.97  [H] 111.2  [T] 51.72 C
                    
[15:26:28.401]接收←[CH1] 66077.753 Hz  [CH2] 57900.900 Hz  [Ref1] 23608556  [Ref2] 24455578  [P] 999.98  [H] 111.1  [T] 51.73 C
                    
[15:26:28.813]接收←[CH1] 66077.753 Hz  [CH2] 57900.900 Hz  [Ref1] 23608530  [Ref2] 24455578  [P] 999.98  [H] 111.1  [T] 51.76 C
                    
[15:26:29.223]接收←[CH1] 66077.619 Hz  [CH2] 57900.900 Hz  [Ref1] 23608528  [Ref2] 24455576  [P] 999.97  [H] 111.1  [T] 51.76 C
                    
[15:26:29.633]接收←[CH1] 66077.656 Hz  [CH2] 57900.900 Hz  [Ref1] 23608386  [Ref2] 24455578  [P] 999.96  [H] 111.2  [T] 51.75 C
                    
[15:26:30.043]接收←[CH1] 66077.745 Hz  [CH2] 57900.900 Hz  [Ref1] 23608530  [Ref2] 24455578  [P] 999.96  [H] 111.2  [T] 51.75 C
                    
[15:26:30.437]接收←[CH1] 66077.745 Hz  [CH2] 57900.900 Hz  [Ref1] 23608528  [Ref2] 24455578  [P] 999.97  [H] 111.1  [T] 51.73 C
                    
[15:26:30.846]接收←[CH1] 66077.708 Hz  [CH2] 57900.900 Hz  [Ref1] 23608632  [Ref2] 24455578  [P] 999.98  [H] 111.1  [T] 51.75 C
                    
[15:26:31.255]接收←[CH1] 66077.631 Hz  [CH2] 57900.900 Hz  [Ref1] 23608528  [Ref2] 24455576  [P] 999.97  [H] 111.2  [T] 51.76 C
                    
